Reading xml
not well-formed (invalid token): line 1, column 0
syntax error: line 1, column 0
35800000 records processed.   @2017-07-05T08:57:46.317
35900000 records processed.   @2017-07-12T08:42:35.533
36000000 records processed.   @2017-07-19T07:35:09.157
36100000 records processed.   @2017-07-25T23:55:48.207
36200000 records processed.   @2017-08-01T18:57:35.087
36300000 records processed.   @2017-08-08T19:07:15.503
36400000 records processed.   @2017-08-16T07:19:26.697
36500000 records processed.   @2017-08-23T11:45:30.963
36600000 records processed.   @2017-08-30T20:54:08.563
36700000 records processed.   @2017-09-07T16:24:16.777
36800000 records processed.   @2017-09-15T06:43:53.510
36900000 records processed.   @2017-09-22T13:09:15.790
37000000 records processed.   @2017-09-29T22:44:25.563
37100000 records processed.   @2017-10-08T11:21:52.800
37200000 records processed.   @2017-10-16T04:49:22.430
37300000 records processed.   @2017-10-23T17:52:04.767
37400000 records processed.   @2017-10-31T05:20:19.120
37500000 records processed.   @2017-11-07T15:43:17.253
37600000 records processed.   @2017-11-14T21:20:34.237
37700000 records processed.   @2017-11-22T07:58:43.413
37800000 records processed.   @2017-11-29T23:11:55.697
37900000 records processed.   @2017-12-07T14:22:55.130
38000000 records processed.   @2017-12-15T10:32:06.463
38100000 records processed.   @2017-12-24T21:13:09.787
38200000 records processed.   @2018-01-04T14:26:26.970
38300000 records processed.   @2018-01-12T16:20:12.770
38400000 records processed.   @2018-01-21T02:46:39.237
38500000 records processed.   @2018-01-29T06:16:32.060
38600000 records processed.   @2018-02-05T17:30:10.463
38700000 records processed.   @2018-02-13T07:44:01.957
38800000 records processed.   @2018-02-20T21:58:29.187
38900000 records processed.   @2018-02-28T11:50:22.357
39000000 records processed.   @2018-03-07T23:04:31.540
39100000 records processed.   @2018-03-15T10:27:14.943
39200000 records processed.   @2018-03-22T15:18:18.960
39300000 records processed.   @2018-03-29T22:28:27.103
39400000 records processed.   @2018-04-06T19:05:30.580
39500000 records processed.   @2018-04-14T16:15:57.880
39600000 records processed.   @2018-04-22T16:19:47.843
39700000 records processed.   @2018-04-30T13:02:05.057
39800000 records processed.   @2018-05-08T12:24:54.243
39900000 records processed.   @2018-05-16T08:34:10.237
40000000 records processed.   @2018-05-23T22:30:40.633
40100000 records processed.   @2018-05-31T18:48:03.923
40200000 records processed.   @2018-06-08T15:49:43.520
40300000 records processed.   @2018-06-17T14:00:00.253
40400000 records processed.   @2018-06-25T18:31:55.110
40500000 records processed.   @2018-07-03T20:03:19.447
40600000 records processed.   @2018-07-11T21:07:50.427
40700000 records processed.   @2018-07-19T15:51:48.567
40800000 records processed.   @2018-07-27T14:16:04.053
40900000 records processed.   @2018-08-05T06:11:56.860
41000000 records processed.   @2018-08-13T13:46:39.713
41100000 records processed.   @2018-08-21T18:37:50.647
41200000 records processed.   @2018-08-29T19:02:46.507
41300000 records processed.   @2018-09-07T05:13:31.417
41400000 records processed.   @2018-09-15T17:38:29.163
41500000 records processed.   @2018-09-24T11:55:58.100
41600000 records processed.   @2018-10-02T14:10:37.997
41700000 records processed.   @2018-10-10T14:15:38.437
41800000 records processed.   @2018-10-18T13:02:15.197
41900000 records processed.   @2018-10-26T10:25:31.577
42000000 records processed.   @2018-11-04T09:11:22.080
42100000 records processed.   @2018-11-12T22:41:40.533
42200000 records processed.   @2018-11-21T02:20:45.140
42300000 records processed.   @2018-11-29T11:12:46.783
42400000 records processed.   @2018-12-07T13:41:30.390
42500000 records processed.   @2018-12-16T18:08:01.747
42600000 records processed.   @2018-12-26T23:45:35.547
42700000 records processed.   @2019-01-07T07:51:03.503
42800000 records processed.   @2019-01-15T16:16:03.990
42900000 records processed.   @2019-01-23T20:12:09.500
43000000 records processed.   @2019-01-31T17:38:12.290
43100000 records processed.   @2019-02-08T17:59:22.870
43200000 records processed.   @2019-02-16T22:52:52.627
43300000 records processed.   @2019-02-25T05:31:32.993
43400000 records processed.   @2019-03-04T21:25:31.377
43500000 records processed.   @2019-03-12T14:15:50.740
43600000 records processed.   @2019-03-20T07:01:55.493
43700000 records processed.   @2019-03-27T21:55:35.090
43800000 records processed.   @2019-04-04T14:38:04.433
43900000 records processed.   @2019-04-12T11:01:29.140
44000000 records processed.   @2019-04-21T12:08:30.697
44100000 records processed.   @2019-04-30T06:15:21.307
44200000 records processed.   @2019-05-08T18:53:19.220
44300000 records processed.   @2019-05-17T01:28:18.617
44400000 records processed.   @2019-05-25T23:32:50.127
44500000 records processed.   @2019-06-03T23:17:01.973
44600000 records processed.   @2019-06-12T08:40:10.290
44700000 records processed.   @2019-06-20T06:25:10.230
